date,hexsha,author,insertions,deletions,lines,files,files_json
2020-08-23 14:29:11,430deb1945cbc7a17ed42c5c737fc08d2eef327a,Bram Moolenaar,8,2,10,3,
2020-08-23 13:21:55,8436773fad285215481c4ce2b32692e66fca599f,Bram Moolenaar,22,2,24,3,
2020-08-23 13:09:36,dc0cf1db3e8e0de349e4cc5b0a7ab6c8b7dc2ebb,Bram Moolenaar,4,1,5,2,
2020-08-23 12:28:37,0981c8729e09551f2e8e6c159bc29f2c1d04019c,Bram Moolenaar,41,26,67,12,
2020-08-22 20:37:20,69e44552c567ff25b363ba0790ad3d43fa0397a7,Bram Moolenaar,54,0,54,4,
2020-08-22 19:08:44,cd94277f72e29b740635da84bcd872c96e11bf67,Bram Moolenaar,36,2,38,3,
2020-08-22 17:02:02,5390099a9733f7952a612670693dd4ebf9e0e178,Bram Moolenaar,33,27,60,3,
2020-08-22 15:21:14,9943b3d97955ece99c747c959e0a7d493bb762bb,Bram Moolenaar,4,1,5,2,
2020-08-22 14:04:52,c63b72b6dc1347530ce906b462bb568994552c8b,Bram Moolenaar,95,0,95,2,
2020-08-22 13:19:18,51b6eb47b3c41b01a5559b099e65354c8897093e,Bram Moolenaar,8,6,14,4,
2020-08-22 13:06:35,d70840ed68296c1144d743e6335003c81c558c24,Bram Moolenaar,23,5,28,4,
2020-08-21 20:46:11,1b04ce2d400fda97410a961288c496bd8f445a9c,Bram Moolenaar,40,6,46,4,
2020-08-21 20:36:47,7cb6fc29d067ed97c0b0c1d2d5767125ef9ae1ab,Bram Moolenaar,65,39,104,11,
2020-08-21 19:55:43,81e17fbe00fd2ed93b262adc3ba41c86b02e7f46,Bram Moolenaar,23,0,23,3,
2020-08-21 19:32:50,122616d9c1b57f1e1f29f1151f8e26d24df9092a,Bram Moolenaar,13,4,17,4,
2020-08-21 18:43:17,3fc71285d5ae7c16cf7be5d997fd1fe140f196da,Bram Moolenaar,23,3,26,3,
